LINK,NAME,PARTY,STATE
https://www.india.gov.in/directory/whos-who/mla/sri-adireddy-srinivas-171255862041597,Sri Adireddy Srinivas,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-bathula-balaramakrishna-171255862360787,Sri Bathula Balaramakrishna,Janasena Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-b-virupakshi-171255862375825,Sri B. Virupakshi,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-bolisetty-srinivas-171255862479440,Sri Bolisetty Srinivas,Janasena Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/kum-bandaru-sravani-sree-171255862312596,Kum. Bandaru Sravani Sree,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-bojjala-venkata-sudhir-reddy-171255862428775,Sri Bojjala Venkata Sudhir Reddy,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-baggu-ramanamurthy-171255862097092,Sri Baggu Ramanamurthy,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-ayyannapatrudu-chintakayala-171255861825702,Sri Ayyannapatrudu Chintakayala,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-bode-prasad-171255862539523,Sri Bode Prasad,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-bonela-vijaya-chandra-171255860024128,Sri Bonela Vijaya Chandra,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-b-jayanageswara-reddy-171255862344286,Sri B. Jayanageswara Reddy,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-boggula-dastagiri-171255862602631,Sri Boggula Dastagiri,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-bommidi-nayakar-171255862407014,Sri Bommidi Nayakar,Janasena Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-badeti-radha-krishnayya-chanti-171255862077104,Sri Badeti Radha Krishnayya (Chanti),Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-b-c-janardhan-reddy-171255861907475,Sri B. C. Janardhan Reddy,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-bonda--umamaheswararao-171255862465033,Sri Bonda  Umamaheswararao,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-bhashyam-praveen-171255862327575,Sri Bhashyam Praveen,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/dr-buchepalli-siva-prasad-reddy-171255862569559,Dr. Buchepalli Siva Prasad Reddy,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-bandaru-satyananda-rao-171255862391625,Sri Bandaru Satyananda Rao,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-budda-rajasekhara-reddy-171255862508975,Sri Budda Rajasekhara Reddy,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-bandaru-satyanarayana-murthy-171255862449343,Sri Bandaru Satyanarayana Murthy,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-dhulipalla-narendra-kumar-171255862805322,Sri Dhulipalla Narendra Kumar,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/dr-chadalavada-aravinda-babu-171255862634040,Dr. Chadalavada Aravinda Babu,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-chirri-balaraju-171255862664688,Sri Chirri Balaraju,Janasena Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-chandra-sekhar-tatiparthi-171255862524555,Sri Chandra Sekhar Tatiparthi,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-ch-vamsi-krishna-srinivas-171255862554781,Sri CH. Vamsi Krishna Srinivas,Janasena Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-burla-ramanjaneyulu-171255862679566,Sri Burla Ramanjaneyulu,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/dr-dasari-sudha-171255862759796,Dr. Dasari Sudha,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-deva-varaprasad-171255862789923,Sri Deva Varaprasad,Janasena Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-dharmaraju-patsamatla-171255862711626,Sri Dharmaraju Patsamatla,Janasena Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-dagumati-venkata-krishnareddy-171255862743766,Sri Dagumati Venkata Krishnareddy,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-chandrababu-naidu-nara-171255862493667,Sri Chandrababu Naidu Nara,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-china-rajappa-nimmakayala-171255862649008,Sri China Rajappa Nimmakayala,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-daggupati-prasad-171255862727957,Sri Daggupati Prasad,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-g-jaya-surya-171255862866136,Sri G Jaya Surya,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-buddha-prasad-mandali-171255862585880,Sri Buddha Prasad Mandali,Janasena Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-datla-subbaraju--buchibabu-171255862849866,Sri Datla Subbaraju  (Buchibabu),Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-chandra-mohan-reddy-somireddy-171255862694985,Sri Chandra Mohan Reddy Somireddy,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-damacharla-janardhana-rao-171255862882186,Sri Damacharla Janardhana Rao,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/smt-divya-yanamala-171255862819699,Smt. Divya Yanamala,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-chintamaneni-prabhakar-171255862618972,Sri Chintamaneni Prabhakar,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-gadde-rama-mohan-171255862948621,Sri Gadde Rama Mohan,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-gali-bhanu-prakash-171255862774143,Sri Gali Bhanu Prakash,Telugu Desam Party,Andhra Pradesh
https://www.india.gov.in/directory/whos-who/mla/sri-gondu-shankara-rao-171255862986633,Sri Gondu Shankara Rao,Telugu Desam Party,Andhra Pradesh
