SI.NO,NAME,PARTY,Constituency,state/union territory
311,"Patel, Smt. Anupriya",Apna Dal (S),Mirzapur,Uttar Pradesh
312,"Patel, Smt. Krishna Devi Shivshankar",SP,Banda,Uttar Pradesh
313,"Patil, Shri Chandrakant Raghunath",BJP,Navsari,Gujarat
314,"Patil, Shri Gyaneshwar",BJP,Khandwa,Madhya Pradesh
315,"Patil, Shri Sanjay Dina",SHSUBT,Mumbai North East,Maharashtra
316,"Patil, Shri Vishaldada Prakashbapu",Ind.,Sangli,Maharashtra
317,"Patra, Dr. Sambit",BJP,Puri,Odisha
318,"Paul, Shri Kartick Chandra",BJP,Raiganj,West Bengal
319,"Pemmasani, Dr. Chandra Sekhar",TDP,Guntur,Andhra Pradesh
320,"Poojary, Shri Kota Srinivasa",BJP,Udupi Chikmagalur,Karnataka
321,"Porika, Shri Balram Naik",INC,Mahabubabad (ST),Telangana
322,"Pradhan, Shri Dharmendra",BJP,Sambalpur,Odisha
323,"Prakash, Adv. Adoor",INC,Attingal,Kerala
324,"Prakash, Shri Jai",BJP,Hardoi (SC),Uttar Pradesh
325,"Prakash, Shri K E",DMK,Erode,Tamil Nadu
326,"Prasad, Dr. M K Vishnu",INC,Cuddalore,Tamil Nadu
327,"Prasad, Shri Awadhesh",SP,Faizabad,Uttar Pradesh
328,"Prasad, Shri Ravi Shankar",BJP,Patna Sahib,Bihar
329,"Prasad, Shri Sudama",CPI(ML)(L),Arrah,Bihar
330,"Prasada, Shri Jitin",BJP,Pilibhit,Uttar Pradesh
331,"Premachandran, Shri N K",RSP,Kollam,Kerala
332,"Punia, Shri Tanuj",INC,Barabanki (SC),Uttar Pradesh
333,"Purandeswari, Dr. D.",BJP,Rajahmundry,Andhra Pradesh
334,"Purohit, Shri Pradeep",BJP,Bargarh,Odisha
335,"R, Km. Sudha",INC,Mayiladuthurai,Tamil Nadu
336,"R, Shri Sachithanantham",CPI(M),Dindigul,Tamil Nadu
337,"Radhakrishna, Shri",INC,Gulbarga (SC),Karnataka
338,"Radhakrishnan, Shri K",CPI(M),Alathur (SC),Kerala
339,"Raghavan, Shri M K",INC,Kozhikode,Kerala
340,"Raghavendra, Shri B Y",BJP,Shimoga,Karnataka
341,"Raghuveer, Shri Kunduru",INC,Nalgonda,Telangana
342,"Rahaman, Shri Khalilur",AITC,Jangipur,West Bengal
343,"Rai, Shri Nityanand",BJP,Ujiarpur,Bihar
