SI.NO,LINK,NAME,PARTY,STATE/UNION TERRITORY
142,https://sansad.in/getFile/newmembers/photos/P2423.jpg?source=rajyasabha,"Patra, Dr. Sasmit",BJD,Odisha
143,https://sansad.in/getFile/newmembers/photos/P2669.jpg?source=rajyasabha,"Pawar, Shri Parth Ajit",NCP,Maharashtra
144,https://sansad.in/getFile/newmembers/photos/P2251.jpg?source=rajyasabha,"Pawar, Shri Sharadchandra",NCP-SCP,Maharashtra
145,https://sansad.in/getFile/newmembers/photos/P2466.jpg?source=rajyasabha,"Pilli, Shri Subhas Chandra Bose",YSRCP,Andhra Pradesh
146,https://sansad.in/getFile/newmembers/photos/P2472.jpg?source=rajyasabha,"Prakash, Shri Deepak",BJP,Jharkhand
147,https://sansad.in/getFile/newmembers/photos/P2564.jpg?source=rajyasabha,"Prasad, Shri Aditya",BJP,Jharkhand
148,https://sansad.in/getFile/newmembers/photos/P2569.jpg?source=rajyasabha,"Prasad, Shri V. Vijayendra",NOM.,Nominated
149,https://sansad.in/getFile/newmembers/photos/P2542.jpg?source=rajyasabha,"Pratapgarhi, Shri Imran",INC,Maharashtra
150,https://sansad.in/getFile/newmembers/photos/P2371.jpg?source=rajyasabha,"Puri, Shri Hardeep Singh",BJP,Uttar Pradesh
151,https://sansad.in/getFile/newmembers/photos/P2644.jpg?source=rajyasabha,"Purkayastha, Shri Kanad",BJP,Assam
152,https://sansad.in/getFile/newmembers/photos/P2514.jpg?source=rajyasabha,"Rahim, Shri A. A.",CPI(M),Kerala
153,https://sansad.in/getFile/newmembers/photos/P2506.jpg?source=rajyasabha,"Rajeshkumar, Shri K.R.N.",DMK,Tamil Nadu
154,https://sansad.in/getFile/newmembers/photos/P1949.jpg?source=rajyasabha,"Ramadoss, Dr. Anbumani",PMK,Tamil Nadu
155,https://sansad.in/getFile/newmembers/photos/P2497.jpg?source=rajyasabha,"Rambhai, Shri Mokariya",BJP,Gujarat
156,https://sansad.in/getFile/newmembers/photos/P1935.jpg?source=rajyasabha,"Ramesh, Shri Jairam",INC,Karnataka
157,https://sansad.in/getFile/newmembers/photos/P2489.jpg?source=rajyasabha,"Ramji, Shri",BSP,Uttar Pradesh
158,https://sansad.in/getFile/newmembers/photos/P2655.jpg?source=rajyasabha,"Ramzan, Shri Chowdry Mohammad",J&KNC,Jammu & Kashmir
159,https://sansad.in/getFile/newmembers/photos/P2531.jpg?source=rajyasabha,"Ranjan, Smt. Ranjeet",INC,Chhattisgarh
160,https://sansad.in/getFile/newmembers/photos/P2625.jpg?source=rajyasabha,"Rathore, Shri Madan",BJP,Rajasthan
161,https://sansad.in/getFile/newmembers/photos/P1945.jpg?source=rajyasabha,"Raut, Shri Sanjay",SS-UBT,Maharashtra
162,https://sansad.in/getFile/newmembers/photos/P2672.jpg?source=rajyasabha,"Ravindran, Shri Constandine",DMK,Tamil Nadu
163,https://sansad.in/getFile/newmembers/photos/P236.jpg?source=rajyasabha,"Ray, Shri Dilip Kumar",IND.,Odisha
164,https://sansad.in/getFile/newmembers/photos/P2580.jpg?source=rajyasabha,"Ray, Shri Nagendra",BJP,West Bengal
165,https://sansad.in/getFile/newmembers/photos/P2184.jpg?source=rajyasabha,"Ray, Shri Sukhendu Sekhar",AITC,West Bengal
166,https://sansad.in/getFile/newmembers/photos/P238.jpg?source=rajyasabha,"Rebia, Shri Nabam",BJP,Arunachal Pradesh
167,https://sansad.in/getFile/newmembers/photos/P2530.jpg?source=rajyasabha,"Reddy, Shri B. Parthasaradhi",BRS,Telangana
168,https://sansad.in/getFile/newmembers/photos/P2587.jpg?source=rajyasabha,"Reddy, Shri Meda Raghunadha",YSRCP,Andhra Pradesh
169,https://sansad.in/getFile/newmembers/photos/P2526.jpg?source=rajyasabha,"Reddy, Shri S Niranjan",YSRCP,Andhra Pradesh
170,https://sansad.in/getFile/newmembers/photos/P2682.jpg?source=rajyasabha,"Reddy, Shri Vem Narendar",INC,Telangana
171,https://sansad.in/getFile/newmembers/photos/P2588.jpg?source=rajyasabha,"Reddy, Shri Yerram Venkata Subba",YSRCP,Andhra Pradesh
172,https://sansad.in/getFile/newmembers/photos/P2546.jpg?source=rajyasabha,"Sahney, Dr. Vikramjit Singh",BJP,Punjab
173,https://sansad.in/getFile/newmembers/photos/P2560.jpg?source=rajyasabha,"Saini, Dr. Kalpana",BJP,Uttarakhand
174,https://sansad.in/getFile/newmembers/photos/P2595.jpg?source=rajyasabha,"Salamsinh, Dr. Parmar Jashvantsinh",BJP,Gujarat
175,https://sansad.in/getFile/newmembers/photos/P2674.jpg?source=rajyasabha,"Samal, Shri Manmohan",BJP,Odisha
176,https://sansad.in/getFile/newmembers/photos/P2622.jpg?source=rajyasabha,"Samantaray, Shri Debashish",BJD,Odisha
177,https://sansad.in/getFile/newmembers/photos/P2583.jpg?source=rajyasabha,"Sandhu, Shri Satnam Singh",BJP,Nominated
178,https://sansad.in/getFile/newmembers/photos/P2643.jpg?source=rajyasabha,"Satyanarayana, Shri Paka Venkata",BJP,Andhra Pradesh
179,https://sansad.in/getFile/newmembers/photos/P2508.jpg?source=rajyasabha,"Selvaganabathy, Shri S.",BJP,Puducherry
180,https://sansad.in/getFile/newmembers/photos/P2307.jpg?source=rajyasabha,"Sen, Ms. Dola",AITC,West Bengal
181,https://sansad.in/getFile/newmembers/photos/P2351.jpg?source=rajyasabha,"Seth, Shri Sanjay",BJP,Uttar Pradesh
182,https://sansad.in/getFile/newmembers/photos/P2581.jpg?source=rajyasabha,"Sharma, Dr. Dinesh",BJP,Uttar Pradesh
183,https://sansad.in/getFile/newmembers/photos/P2668.jpg?source=rajyasabha,"Sharma, Shri Anurag",INC,Himachal Pradesh
184,https://sansad.in/getFile/newmembers/photos/P2571.jpg?source=rajyasabha,"Sharma, Shri Kartikeya",IND.,Haryana
185,https://sansad.in/getFile/newmembers/photos/P2657.jpg?source=rajyasabha,"Sharma, Shri Sat Paul",BJP,Jammu & Kashmir
186,https://sansad.in/getFile/newmembers/photos/P2642.jpg?source=rajyasabha,"Sharma, Smt. Rekha",BJP,Haryana
187,https://sansad.in/getFile/newmembers/photos/P2297.jpg?source=rajyasabha,"Shekhar, Shri Neeraj",BJP,Uttar Pradesh
188,https://sansad.in/getFile/newmembers/photos/P2269.jpg?source=rajyasabha,Shri Harivansh,NOM.,Nominated
189,https://sansad.in/getFile/newmembers/photos/P2647.jpg?source=rajyasabha,"Shringla, Shri Harsh Vardhan",BJP,Nominated
190,https://sansad.in/getFile/newmembers/photos/P175.jpg?source=rajyasabha,"Shukla, Shri Rajeev",INC,Chhattisgarh
191,https://sansad.in/getFile/newmembers/photos/P74.jpg?source=rajyasabha,"Sibal, Shri Kapil",IND.,Uttar Pradesh
192,https://sansad.in/getFile/newmembers/photos/P2666.jpg?source=rajyasabha,"Singh Boudh, Shri Karamvir",INC,Haryana
193,https://sansad.in/getFile/newmembers/photos/P2590.jpg?source=rajyasabha,"Singh, Dr. Bhim",BJP,Bihar
194,https://sansad.in/getFile/newmembers/photos/P2377.jpg?source=rajyasabha,"Singh, Shri Akhilesh Prasad",INC,Bihar
195,https://sansad.in/getFile/newmembers/photos/P2437.jpg?source=rajyasabha,"Singh, Shri Arun",BJP,Uttar Pradesh
196,https://sansad.in/getFile/newmembers/photos/P2601.jpg?source=rajyasabha,"Singh, Shri Ashok",INC,Madhya Pradesh
197,https://sansad.in/getFile/newmembers/photos/P2593.jpg?source=rajyasabha,"Singh, Shri Devendra Pratap",BJP,Chhattisgarh
198,https://sansad.in/getFile/newmembers/photos/P2279.jpg?source=rajyasabha,"Singh, Shri Digvijaya",INC,Madhya Pradesh
199,https://sansad.in/getFile/newmembers/photos/P2520.jpg?source=rajyasabha,"Singh, Shri Harbhajan",BJP,Punjab
200,https://sansad.in/getFile/newmembers/photos/P2614.jpg?source=rajyasabha,"Singh, Shri Ratanjit Pratap Narain",BJP,Uttar Pradesh
201,https://sansad.in/getFile/newmembers/photos/P2639.jpg?source=rajyasabha,"Singh, Shri Ravneet",BJP,Rajasthan
202,https://sansad.in/getFile/newmembers/photos/P2372.jpg?source=rajyasabha,"Singh, Shri Sanjay",AAP,National Capital Territory of Delhi
203,https://sansad.in/getFile/newmembers/photos/P2545.jpg?source=rajyasabha,"Singh, Shri Sant Balbir",AAP,Punjab
204,https://sansad.in/getFile/newmembers/photos/P2612.jpg?source=rajyasabha,"Singh, Shri Tejveer",BJP,Uttar Pradesh
205,https://sansad.in/getFile/newmembers/photos/P2553.jpg?source=rajyasabha,"Singh, Smt. Darshana",BJP,Uttar Pradesh
206,https://sansad.in/getFile/newmembers/photos/P2616.jpg?source=rajyasabha,"Singh, Smt. Sadhna",BJP,Uttar Pradesh
207,https://sansad.in/getFile/newmembers/photos/P2029.jpg?source=rajyasabha,"Singhvi, Dr. Abhishek Manu",INC,Telangana
