position tittle,NAME,PARTY,text-xs,,,,,,,,,,,flex href,leading-5,text-sm,text-xs,flex href,leading-6,text-sm,flex href
Members of Legislative Assembly (MLAs),Sri Ramanjaneyulu Pulaparthi  [Anji babu],Janasena Party,Andhra Pradesh,,,,,,,,,,,https://www.india.gov.in/directory/whos-who/mla/sri-ramanjaneyulu-pulaparthi--anji-babu-171262586072600,Sri Ramanjaneyulu Pulaparthi  [Anji babu],Janasena Party,Andhra Pradesh,https://www.india.gov.in/directory/whos-who/mla/sri-ramanjaneyulu-pulaparthi--anji-babu-171262586072601,Sri Ramanjaneyulu Pulaparthi  [Anji babu],Janasena Party,https://www.india.gov.in/directory/whos-who/mla/sri-ramanjaneyulu-pulaparthi--anji-babu-171262586072601
Members of Legislative Assembly (MLAs),Sri Payyavula Keshav,Telugu Desam Party,Andhra Pradesh,,,,,,,,,,,https://www.india.gov.in/directory/whos-who/mla/sri-payyavula-keshav-171262585945822,Sri Payyavula Keshav,Telugu Desam Party,Andhra Pradesh,https://www.india.gov.in/directory/whos-who/mla/sri-payyavula-keshav-171262585945823,Sri Payyavula Keshav,Telugu Desam Party,https://www.india.gov.in/directory/whos-who/mla/sri-payyavula-keshav-171262585945823
Members of Legislative Assembly (MLAs),Sri Pullivarthi Venkatamani Prasad (Nani),Telugu Desam Party,Andhra Pradesh,,,,,,,,,,,https://www.india.gov.in/directory/whos-who/mla/sri-pullivarthi-venkatamani-prasad-nani-171262586193357,Sri Pullivarthi Venkatamani Prasad (Nani),Telugu Desam Party,Andhra Pradesh,https://www.india.gov.in/directory/whos-who/mla/sri-pullivarthi-venkatamani-prasad-nani-171262586193358,Sri Pullivarthi Venkatamani Prasad (Nani),Telugu Desam Party,https://www.india.gov.in/directory/whos-who/mla/sri-pullivarthi-venkatamani-prasad-nani-171262586193358
Members of Legislative Assembly (MLAs),Sri R.V.S.K.K.Ranga Rao  @ Babynayana,Telugu Desam Party,Andhra Pradesh,,,,,,,,,,,https://www.india.gov.in/directory/whos-who/mla/sri-rvskkranga-rao---babynayana-171262585961772,Sri R.V.S.K.K.Ranga Rao  @ Babynayana,Telugu Desam Party,Andhra Pradesh,https://www.india.gov.in/directory/whos-who/mla/sri-rvskkranga-rao---babynayana-171262585961773,Sri R.V.S.K.K.Ranga Rao  @ Babynayana,Telugu Desam Party,https://www.india.gov.in/directory/whos-who/mla/sri-rvskkranga-rao---babynayana-171262585961773
Members of Legislative Assembly (MLAs),Sri Peddireddi Ramachandra Reddy,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,,,,,,,,,,,https://www.india.gov.in/directory/whos-who/mla/sri-peddireddi-ramachandra-reddy-171262585882603,Sri Peddireddi Ramachandra Reddy,Yuvajana Sramika Rythu Congress Party,Andhra Pradesh,https://www.india.gov.in/directory/whos-who/mla/sri-peddireddi-ramachandra-reddy-171262585882604,Sri Peddireddi Ramachandra Reddy,Yuvajana Sramika Rythu Congress Party,https://www.india.gov.in/directory/whos-who/mla/sri-peddireddi-ramachandra-reddy-171262585882604
Members of Legislative Assembly (MLAs),Sri Ramakrishna Reddy Nallamilli,Bharatiya Janata Party,Andhra Pradesh,,,,,,,,,,,https://www.india.gov.in/directory/whos-who/mla/sri-ramakrishna-reddy-nallamilli-171262585969386,Sri Ramakrishna Reddy Nallamilli,Bharatiya Janata Party,Andhra Pradesh,https://www.india.gov.in/directory/whos-who/mla/sri-ramakrishna-reddy-nallamilli-171262585969387,Sri Ramakrishna Reddy Nallamilli,Bharatiya Janata Party,https://www.india.gov.in/directory/whos-who/mla/sri-ramakrishna-reddy-nallamilli-171262585969387
Members of Legislative Assembly (MLAs),Smt. S. Savitha,Telugu Desam Party,Andhra Pradesh,,,,,,,,,,,https://www.india.gov.in/directory/whos-who/mla/smt-s-savitha-171262586184881,Smt. S. Savitha,Telugu Desam Party,Andhra Pradesh,https://www.india.gov.in/directory/whos-who/mla/smt-s-savitha-171262586184882,Smt. S. Savitha,Telugu Desam Party,https://www.india.gov.in/directory/whos-who/mla/smt-s-savitha-171262586184882
Members of Legislative Assembly (MLAs),Sri Roshan Kumar Songa,Telugu Desam Party,Andhra Pradesh,,,,,,,,,,,https://www.india.gov.in/directory/whos-who/mla/sri-roshan-kumar-songa-171262586017326,Sri Roshan Kumar Songa,Telugu Desam Party,Andhra Pradesh,https://www.india.gov.in/directory/whos-who/mla/sri-roshan-kumar-songa-171262586017327,Sri Roshan Kumar Songa,Telugu Desam Party,https://www.india.gov.in/directory/whos-who/mla/sri-roshan-kumar-songa-171262586017327
Members of Legislative Assembly (MLAs),Sri Satya Kumar Yadav,Bharatiya Janata Party,Andhra Pradesh,,,,,,,,,,,https://www.india.gov.in/directory/whos-who/mla/sri-satya-kumar-yadav-171262586042854,Sri Satya Kumar Yadav,Bharatiya Janata Party,Andhra Pradesh,https://www.india.gov.in/directory/whos-who/mla/sri-satya-kumar-yadav-171262586042855,Sri Satya Kumar Yadav,Bharatiya Janata Party,https://www.india.gov.in/directory/whos-who/mla/sri-satya-kumar-yadav-171262586042855
Members of Legislative Assembly (MLAs),Smt. Tangirala Sowmya,Telugu Desam Party,Andhra Pradesh,,,,,,,,,,,https://www.india.gov.in/directory/whos-who/mla/smt-tangirala-sowmya-171262586080164,Smt. Tangirala Sowmya,Telugu Desam Party,Andhra Pradesh,https://www.india.gov.in/directory/whos-who/mla/smt-tangirala-sowmya-171262586080165,Smt. Tangirala Sowmya,Telugu Desam Party,https://www.india.gov.in/directory/whos-who/mla/smt-tangirala-sowmya-171262586080165
Members of Legislative Assembly (MLAs),Sri Yalamanchili Satyanarayana Chowdary,Bharatiya Janata Party,Andhra Pradesh,,,,,,,,,,,https://www.india.gov.in/directory/whos-who/mla/sri-yalamanchili-satyanarayana-chowdary-171262586176646,Sri Yalamanchili Satyanarayana Chowdary,Bharatiya Janata Party,Andhra Pradesh,https://www.india.gov.in/directory/whos-who/mla/sri-yalamanchili-satyanarayana-chowdary-171262586176647,Sri Yalamanchili Satyanarayana Chowdary,Bharatiya Janata Party,https://www.india.gov.in/directory/whos-who/mla/sri-yalamanchili-satyanarayana-chowdary-171262586176647
Members of Legislative Assembly (MLAs),Sri Surya Naga Sanyasi Raju Kalidindi,Telugu Desam Party,Andhra Pradesh,,,,,,,,,,,https://www.india.gov.in/directory/whos-who/mla/sri-surya-naga-sanyasi-raju-kalidindi-171262586007307,Sri Surya Naga Sanyasi Raju Kalidindi,Telugu Desam Party,Andhra Pradesh,https://www.india.gov.in/directory/whos-who/mla/sri-surya-naga-sanyasi-raju-kalidindi-171262586007308,Sri Surya Naga Sanyasi Raju Kalidindi,Telugu Desam Party,https://www.india.gov.in/directory/whos-who/mla/sri-surya-naga-sanyasi-raju-kalidindi-171262586007308
Members of Legislative Assembly (MLAs),Sri Tenali Sravan Kumar,Telugu Desam Party,Andhra Pradesh,,,,,,,,,,,https://www.india.gov.in/directory/whos-who/mla/sri-tenali-sravan-kumar-171262586057231,Sri Tenali Sravan Kumar,Telugu Desam Party,Andhra Pradesh,https://www.india.gov.in/directory/whos-who/mla/sri-tenali-sravan-kumar-171262586057232,Sri Tenali Sravan Kumar,Telugu Desam Party,https://www.india.gov.in/directory/whos-who/mla/sri-tenali-sravan-kumar-171262586057232
Members of Legislative Assembly (MLAs),Dr. Ugra Narasimha Reddy Mukku,Telugu Desam Party,Andhra Pradesh,,,,,,,,,,,https://www.india.gov.in/directory/whos-who/mla/dr-ugra-narasimha-reddy-mukku-171262586127664,Dr. Ugra Narasimha Reddy Mukku,Telugu Desam Party,Andhra Pradesh,https://www.india.gov.in/directory/whos-who/mla/dr-ugra-narasimha-reddy-mukku-171262586127665,Dr. Ugra Narasimha Reddy Mukku,Telugu Desam Party,https://www.india.gov.in/directory/whos-who/mla/dr-ugra-narasimha-reddy-mukku-171262586127665
